# Time, VRMS, Nu
0.000000000000000000e+00 9.904004034990080640e+00 4.834732938904703019e+02
0.000000000000000000e+00 9.910626916519323260e+00 4.834332679413179790e+02
1.418872669420363122e-06 9.915955942679167023e+00 4.834217953236595235e+02
2.837676644555593830e-06 9.920739868215704860e+00 4.834167052437595089e+02
4.256442070368232282e-06 9.924923569781091359e+00 4.834055845351243761e+02
5.675183198692677849e-06 9.928605972390865730e+00 4.833981320624909017e+02
7.093901566034811285e-06 9.931843308378162760e+00 4.833866264584714258e+02
8.512600555996606294e-06 9.934691246866597325e+00 4.833776464719184673e+02
9.931278700279245081e-06 9.937197300506660724e+00 4.833660222407475544e+02
1.134993746494333288e-05 9.939403429685581770e+00 4.833562628243566905e+02
1.276857515706227006e-05 9.941346384403795255e+00 4.833447202654590455e+02
1.418719261173161102e-05 9.943058420800086949e+00 4.833346406453139821e+02
1.560578829311241687e-05 9.944567832524267459e+00 4.833233203165605119e+02
1.702436271166648952e-05 9.945899445052997834e+00 4.833132012824788717e+02
1.844291451169863857e-05 9.947075036879157395e+00 4.833021904285525920e+02
1.986144400422214040e-05 9.948113716781785243e+00 4.832922032287718821e+02
2.127994998524014879e-05 9.949032248860197214e+00 4.832815519192430429e+02
2.269843263542349035e-05 9.949845342378525359e+00 4.832717991227062271e+02
2.411689087407352416e-05 9.950565902167035404e+00 4.832615328834267530e+02
2.553532479643791928e-05 9.951205251461999524e+00 4.832520733979509941e+02
2.695373342430241117e-05 9.951773324744971561e+00 4.832422016826681102e+02
2.837211679841655551e-05 9.952278839136496913e+00 4.832330662412260267e+02
2.979047402858322270e-05 9.952729442862654707e+00 4.832235881665554302e+02
3.120880512170642922e-05 9.953131847125368026e+00 4.832147893771430631e+02
3.262710926524190559e-05 9.953491940379119995e+00 4.832056974802032414e+02
3.404538644512748865e-05 9.953814889821050116e+00 4.831972366468858695e+02
3.546363591843056004e-05 9.954105229324072823e+00 4.831885192047249120e+02
3.688185765803201146e-05 9.954366937580857666e+00 4.831803906820651946e+02
3.830005098392563425e-05 9.954603505734842983e+00 4.831720333854415230e+02
3.971821586106972281e-05 9.954817997579411326e+00 4.831642272547043149e+02
4.113635166687822190e-05 9.955013101551658750e+00 4.831562143239125930e+02
4.255445836194118213e-05 9.955191177130814140e+00 4.831487181537161746e+02
4.397253537641766937e-05 9.955354294792744696e+00 4.831410330608773052e+02
4.539058266931766543e-05 9.955504271788413462e+00 4.831338329414076611e+02
4.680859971981812768e-05 9.955642702834468949e+00 4.831264589147567108e+02
4.822658648721738151e-05 9.955770987715148124e+00 4.831195401170292030e+02
4.964454249706338595e-05 9.955890354847381829e+00 4.831124602887131232e+02
5.106246771062854782e-05 9.956001882586065221e+00 4.831058077803792798e+02
5.248036169742993374e-05 9.956106517308477066e+00 4.830990054549047841e+02
5.389822442217419480e-05 9.956205089869600400e+00 4.830926040816942759e+02
5.531605549682269007e-05 9.956298329471174213e+00 4.830860627913573921e+02
5.673385489056515852e-05 9.956386876381033701e+00 4.830798975385911831e+02
5.815162225655419855e-05 9.956471292561376529e+00 4.830736011563310512e+02
5.956935756946926452e-05 9.956552071508484758e+00 4.830676572032310219e+02
6.098706052288242518e-05 9.956629646390512178e+00 4.830615899509834321e+02
6.240473109787482019e-05 9.956704397666618078e+00 4.830558527520519760e+02
6.382236902795081592e-05 9.956776659310591526e+00 4.830499992622986838e+02
6.523997430125531892e-05 9.956846724717696162e+00 4.830444546077140444e+02
