# Time VRMS
0.000000000000000000e+00 6.582071524576264474e-04
3.692639706286392709e+00 7.658319565795262225e-04
6.860742291199580123e+00 8.714438994297741062e-04
9.649853960830451882e+00 9.822159127321292843e-04
1.212013623518885730e+01 1.089873024518495407e-03
1.434882512409974176e+01 1.190442604916836129e-03
1.638995300861891025e+01 1.290633890736387008e-03
1.827798387516040890e+01 1.403190318655257902e-03
2.001110724433128496e+01 1.499154749334594529e-03
2.163449016521634860e+01 1.601843499184679850e-03
2.315307677785668616e+01 1.701825383048169047e-03
2.458356827102273101e+01 1.804741505424756849e-03
2.592960936390822724e+01 1.904439984803735263e-03
2.720548918777609870e+01 1.989217584236823572e-03
2.842592257295321900e+01 2.091010767350334233e-03
2.958835717503858120e+01 2.190479406611193884e-03
3.069604359166602592e+01 2.287127808369915187e-03
3.175606091868733216e+01 2.378249903721070015e-03
3.277892111929209307e+01 2.465084396659587319e-03
3.376190258830158797e+01 2.554311555859842611e-03
3.471116994377776876e+01 2.645617862067710466e-03
3.562849936255832972e+01 2.729356180027632615e-03
3.651875460587915256e+01 2.815347991623039919e-03
3.738267740828899832e+01 2.901229544175568716e-03
3.821807827593465845e+01 2.989947729027294873e-03
3.902977496879482544e+01 3.075307778879471984e-03
3.981791695107249041e+01 3.162022912624643835e-03
4.058565930677955436e+01 3.243870010966712174e-03
4.133456260226950718e+01 3.333363523036492800e-03
4.206457244723874567e+01 3.405245346256829085e-03
4.277910084655977130e+01 3.491972507098818970e-03
4.347610411740068770e+01 3.570799383813603664e-03
4.415951086179067175e+01 3.640760027188743274e-03
4.483004492781556394e+01 3.733060147127171841e-03
4.548483284226075085e+01 3.809036053435006439e-03
4.612847081350970768e+01 3.891702789189164461e-03
4.675768053592354789e+01 3.964475730881426851e-03
4.737605988459794304e+01 4.045563119534353186e-03
4.798346523667811425e+01 4.133379558679190977e-03
4.857870806117147566e+01 4.213173885639662046e-03
4.916532281701451268e+01 4.282564129617614374e-03
4.974333397877180118e+01 4.361421056200029747e-03
5.031331492509336556e+01 4.433528275411923250e-03
5.087416052754412021e+01 4.519620953745927087e-03
5.142696116515462279e+01 4.599406221620011732e-03
5.197370448896874962e+01 4.673259601226758403e-03
5.251179346484179433e+01 4.758781217561812438e-03
5.304195773818401705e+01 4.845318264232768846e-03
5.356501479777103469e+01 4.916136292488873169e-03
5.408171260360014543e+01 5.003761110841264785e-03
5.459172624507301919e+01 5.094206703501785900e-03
5.509489764020884905e+01 5.168676670577730149e-03
5.559261604772088106e+01 5.251406500254421350e-03
5.608412768953705552e+01 5.337614821077907995e-03
5.657109414102112055e+01 5.414971687138699433e-03
5.705373790477028706e+01 5.512473517377151043e-03
5.752871951193364453e+01 5.594177791452357301e-03
5.799881097671116947e+01 5.686609716027478216e-03
5.846524150781253581e+01 5.773089938413558143e-03
5.892728449143866953e+01 5.862548113622819031e-03
5.938339779239361604e+01 5.957221247414250936e-03
5.983500870104763436e+01 6.056919051547603877e-03
6.028333263565599509e+01 6.146084502012943811e-03
6.072777269813735757e+01 6.234786221746894258e-03
6.116933711346733560e+01 6.334331270559049459e-03
6.160243788083238314e+01 6.427472797264481910e-03
6.202760901648291281e+01 6.523255346512804066e-03
6.244528078520033176e+01 6.621871943813222548e-03
6.285556664073128985e+01 6.715793339946990979e-03
6.325867423547207125e+01 6.806589905955330762e-03
6.365522368228000261e+01 6.913100455418103550e-03
6.404331980904750310e+01 7.000403534593134178e-03
6.442469444156131431e+01 7.104441152487316578e-03
6.479903742147452306e+01 7.184484363650020348e-03
6.516819068111115598e+01 7.278345033335483980e-03
6.553096322195457901e+01 7.374203486771430636e-03
6.588737066804027620e+01 7.454218383735431754e-03
6.623855814894251637e+01 7.560174613049034514e-03
6.658374731478291153e+01 7.653221955386553706e-03
6.692345641488051911e+01 7.734730026418285519e-03
6.725821502522249773e+01 7.814890979799857251e-03
6.758830582211710691e+01 7.899152319179317955e-03
6.791292321222701389e+01 7.989947441406453771e-03
6.823263880203370491e+01 8.064925077308144827e-03
6.854759321183468046e+01 8.148568758932365000e-03
6.885757678097641588e+01 8.217113121686110688e-03
6.916369890445331237e+01 8.313087392795940125e-03
6.946407210162279000e+01 8.377408695838013328e-03
6.976028987277673821e+01 8.446023613065452990e-03
7.005279848400394371e+01 8.521985662128483269e-03
7.034123462578210706e+01 8.584774905574703643e-03
7.062491515673353604e+01 8.655125473826923502e-03
7.090469218332434309e+01 8.708704913989031432e-03
7.118114317275912128e+01 8.769555309947335217e-03
7.145373310509742737e+01 8.827673545502720542e-03
7.172225925133319890e+01 8.888726943875609188e-03
7.198757235115384390e+01 8.942776164218596557e-03
7.224913806188779120e+01 8.994853062215183229e-03
7.250729429284470484e+01 9.035991368326959372e-03
7.276223165064010345e+01 9.071211153456854026e-03
7.301423944215962081e+01 9.112947001810277337e-03
7.326274536500271495e+01 9.159787522255571218e-03
7.350819544346137491e+01 9.191281605081726841e-03
7.375085974327241445e+01 9.217733964355106710e-03
7.399076697133473601e+01 9.229051689030725106e-03
7.422818547884855889e+01 9.289299354353439814e-03
7.446257397520335530e+01 9.297349388075668714e-03
7.469478932158580164e+01 9.307552144567613275e-03
7.492463922128493437e+01 9.319129457796747340e-03
7.515281878518187852e+01 9.313951033815659475e-03
7.537870421731599890e+01 9.320673755906692948e-03
7.560209433348479990e+01 9.330120550818426367e-03
7.582294156088963177e+01 9.327202075872644688e-03
7.604299054976945627e+01 9.321070327761435056e-03
7.626173257560661511e+01 9.322455975286329452e-03
7.647915080877454841e+01 9.299190676614060500e-03
7.669483916545500790e+01 9.272106770104100726e-03
7.690805258393265831e+01 9.259686947434703219e-03
7.712026768993338521e+01 9.222351619106844076e-03
7.733307224447203509e+01 9.202187921900455841e-03
7.754512608774878402e+01 9.165773167457180390e-03
7.775640207334757292e+01 9.140351105522113301e-03
7.796650446847833393e+01 9.126698782735444965e-03
7.817591143932935438e+01 9.096637641044265712e-03
7.838399475581888964e+01 9.037412846619718651e-03
7.859259476386441179e+01 8.959915338560907327e-03
7.880388869000277907e+01 8.919224553978664927e-03
7.901547435160956923e+01 8.887060978574549963e-03
7.922628051244321057e+01 8.821958907871572594e-03
7.943737654096271683e+01 8.769991387846298031e-03
7.964845102284347433e+01 8.735286100993088984e-03
7.985861742767092153e+01 8.661971377706923977e-03
8.007307389973466627e+01 8.588789999174102283e-03
8.028851144064614687e+01 8.518443832883722602e-03
8.050557767826107636e+01 8.462261058365750169e-03
8.072581563736734722e+01 8.402197812559063575e-03
8.094783819426220361e+01 8.337213179854500653e-03
8.117055603039460721e+01 8.240511080517444117e-03
8.139418838861151073e+01 8.226584637115634882e-03
8.161850387996580025e+01 8.175371728353570885e-03
8.184358474970227348e+01 8.111694742303674280e-03
8.207048312154317671e+01 8.076657460747540054e-03
8.229841243724285960e+01 7.979730074245077950e-03
8.253121538435483728e+01 7.921586244893001269e-03
8.276790007048080611e+01 7.872006674063259171e-03
8.300864711429889553e+01 7.766600070405150699e-03
8.325972562665795351e+01 7.705601199336086990e-03
8.351326570788916115e+01 7.628596574089583672e-03
8.377119869968272781e+01 7.574827749063605536e-03
8.403343062227436633e+01 7.517224684526125321e-03
8.429785798612584813e+01 7.443181080485750979e-03
8.456581188998356424e+01 7.374003823209432547e-03
8.483698018928431850e+01 7.290071067162177260e-03
8.511258466944237000e+01 7.257608570573136943e-03
8.539102750483503712e+01 7.193332947098477100e-03
8.567255476420618265e+01 7.175390072729186629e-03
8.595498926197188894e+01 7.127680315887356156e-03
8.624006808338224062e+01 7.047633628546990693e-03
8.652930240375195581e+01 7.007010492846305581e-03
8.682261885195650564e+01 6.957247927821172927e-03
8.711908941801365813e+01 6.916912113962302155e-03
8.741826021048625250e+01 6.860458142547668815e-03
8.772417169265190751e+01 6.792387247897459929e-03
8.803948927876544417e+01 6.710776833420170444e-03
8.837088346490500612e+01 6.639977329060634675e-03
8.870548534443064170e+01 6.599191421989307992e-03
8.904940029474661856e+01 6.561598093246505219e-03
8.939721002859465671e+01 6.487736805199901570e-03
8.975986337839954388e+01 6.415312592391361930e-03
9.012969141335001666e+01 6.388600812703649524e-03
9.050250247263893755e+01 6.304515968819883812e-03
9.088630103068332744e+01 6.263976399001845545e-03
9.127744689664704936e+01 6.215761372634824242e-03
9.167114861385110203e+01 6.160652163965715106e-03
9.207369527859685832e+01 6.101095753214466448e-03
9.248157235460811876e+01 6.040590191358977470e-03
9.289929989105225161e+01 6.001433922607583675e-03
9.332236871018781699e+01 5.920240735943610964e-03
9.375154777988166188e+01 5.879514018278070644e-03
9.418634007144257225e+01 5.821874359206682080e-03
9.463137399910047520e+01 5.761005477132792076e-03
9.507878943638280589e+01 5.699853577880943135e-03
9.553467416616594221e+01 5.650581006950547783e-03
9.599974025682855938e+01 5.600401091308044969e-03
9.647435885109199205e+01 5.548326006729137339e-03
9.695495667591511335e+01 5.486524388584185230e-03
9.744527081113015754e+01 5.427624391559852934e-03
9.794654375512658362e+01 5.373582349640630695e-03
9.845304388325838829e+01 5.311312567718490599e-03
9.897037875738070056e+01 5.256326568162762898e-03
9.949635307870441636e+01 5.177968815327508439e-03
1.000346332799627760e+02 5.138541196239942641e-03
1.005786505262342558e+02 5.073019620289019593e-03
1.011347174003199001e+02 5.019315085255054640e-03
1.016998265359455900e+02 4.954717359673496690e-03
1.022717415236010936e+02 4.894207257298245455e-03
1.028495737375486101e+02 4.857254799006186820e-03
1.034380402402833710e+02 4.791420097471944806e-03
1.040379828955857278e+02 4.723366714983970142e-03
1.046477331441896723e+02 4.662071953926525715e-03
1.052711147662106299e+02 4.620994361602854227e-03
1.058880263511656921e+02 4.537722297099537790e-03
1.065248041869161426e+02 4.488969629274813453e-03
1.071715370847847169e+02 4.426147439539772702e-03
1.078226358162283560e+02 4.377594301257886969e-03
1.084778590701802159e+02 4.320348282012258928e-03
1.091391703927885146e+02 4.275481821564543206e-03
1.098212624341529846e+02 4.203070873081878218e-03
1.105096198128492944e+02 4.168147797879132206e-03
1.111977008441941592e+02 4.110062339500571149e-03
1.118928508859262934e+02 4.046200043359400068e-03
1.126057437645314820e+02 3.999173498674234682e-03
1.133311305980761006e+02 3.944567198214435702e-03
1.140506915266326757e+02 3.893922530337813343e-03
1.147829138478183921e+02 3.833540089650314814e-03
1.155120357599964223e+02 3.783369444546355424e-03
1.162721758250874018e+02 3.741588805449641997e-03
1.170286475822736065e+02 3.707844723760528576e-03
1.177911625134953368e+02 3.632420358057655927e-03
1.185801193836167045e+02 3.584878820478728904e-03
1.193712516880513022e+02 3.551592005053964309e-03
1.201681127845501322e+02 3.493597872353300902e-03
1.209702854035160584e+02 3.460433251954763648e-03
1.217712453873400023e+02 3.412291028625640075e-03
1.225864859504819862e+02 3.369010583289998306e-03
1.234099036112419441e+02 3.328005627799573377e-03
1.242371124922167667e+02 3.289000571948377805e-03
1.250556710761858881e+02 3.230055868751450024e-03
1.259014913406191170e+02 3.196130984392705956e-03
1.267521309563845904e+02 3.168998309209383919e-03
1.275911073441316432e+02 3.128040706151406780e-03
1.284536256543630657e+02 3.072077211895734780e-03
1.293264575193289829e+02 3.037317845370423718e-03
1.301918774442979156e+02 3.013581594567547525e-03
1.310605497991478217e+02 2.974679550546905846e-03
1.319599520555196079e+02 2.933191757029856260e-03
1.328543471298171426e+02 2.900622676848547965e-03
1.337502409854312191e+02 2.885004800312603555e-03
1.346373668063288846e+02 2.846191169810402804e-03
1.355329918214194151e+02 2.806240535880398426e-03
1.364583680313696163e+02 2.752243011219311641e-03
1.373909685208061262e+02 2.735754619383342755e-03
1.383310094786412492e+02 2.702865978134503990e-03
1.392643271124908608e+02 2.666384866084650120e-03
1.402150765750540984e+02 2.631071612375494948e-03
1.411925110664458884e+02 2.584675071266734955e-03
1.421788051298619564e+02 2.564606662379587902e-03
1.431728147655456667e+02 2.539874371907422084e-03
1.441652634103451476e+02 2.504456321254215894e-03
1.451634091390885430e+02 2.479911217174465918e-03
1.461766910166602429e+02 2.452945976031518406e-03
1.471996113291779977e+02 2.416580815142518792e-03
1.482527591006975740e+02 2.396088062783356849e-03
1.493113673690467351e+02 2.353845032875508982e-03
1.503852190340882657e+02 2.332132059394390663e-03
1.514604130721059505e+02 2.309805160015799934e-03
1.525526377954294048e+02 2.290924930014992273e-03
1.536300507737508667e+02 2.276121518841028608e-03
1.547219236963650530e+02 2.233014027257280813e-03
1.558248133978545695e+02 2.214310229450277938e-03
1.569476043460628034e+02 2.196746192228725848e-03
1.580570276783848556e+02 2.162908519317318159e-03
1.591917446970851415e+02 2.142365207014758442e-03
1.603391461666638236e+02 2.128419354196321896e-03
1.614700404217115590e+02 2.084738946728950052e-03
1.626319920307004736e+02 2.088090631915518955e-03
1.637982868512829953e+02 2.062903977181188443e-03
1.649669287508564253e+02 2.032965615274071568e-03
1.661492206460841032e+02 2.014592661061755195e-03
1.673280263633569689e+02 1.993588764723636976e-03
1.685147540312997592e+02 1.990964068117656929e-03
1.696920587022290476e+02 1.962754900477327834e-03
1.708828671952408627e+02 1.938647158037381081e-03
1.721095033752436336e+02 1.927047336304079728e-03
1.732797882762673964e+02 1.903739700504328584e-03
1.745101718801242896e+02 1.873542624212559638e-03
1.757409888304538015e+02 1.857609327479545951e-03
1.769648891990941877e+02 1.849312659549674515e-03
1.781940583493913550e+02 1.821330730248598697e-03
1.794500538691797829e+02 1.811818576425590398e-03
1.806970001352488566e+02 1.797771360942689673e-03
1.819556504173886822e+02 1.780863444158460596e-03
1.832161126619143943e+02 1.761939843451435124e-03
1.845095322917124747e+02 1.738071159328425340e-03
1.857974779092166671e+02 1.721474525840601278e-03
1.870685660969730293e+02 1.704707088649862375e-03
1.883651448408323574e+02 1.692893894670119458e-03
1.896654514477085058e+02 1.660119283134207533e-03
1.910066870956552521e+02 1.658863585812500943e-03
1.923225572877110210e+02 1.656137086973371230e-03
1.936121737987564586e+02 1.621068527515652502e-03
1.949606304217963100e+02 1.608677514800450513e-03
1.962815210321260793e+02 1.601018076703475445e-03
1.976208467381584626e+02 1.564133226390818088e-03
1.989553797399972268e+02 1.559431844869695050e-03
2.002941269748271509e+02 1.551400368973660524e-03
2.016398244641477788e+02 1.522762069075700008e-03
2.030463833707520109e+02 1.523417714749838526e-03
2.043931364979007697e+02 1.517490393027458046e-03
2.057158276261069147e+02 1.497311162084895720e-03
2.070947166760155369e+02 1.482830364833252019e-03
2.084595859335387047e+02 1.477974818725762054e-03
2.098403473551835532e+02 1.456507865420717841e-03
2.112587378312847761e+02 1.445450197616479637e-03
2.126398460491024878e+02 1.423308539137079247e-03
2.140791334775871633e+02 1.403572912123320733e-03
2.155619385106706147e+02 1.396322129511524089e-03
2.170506462632412195e+02 1.384491827228592764e-03
2.185147502466786875e+02 1.365902089762054995e-03
2.200311451063074912e+02 1.353766133351551326e-03
2.215449985164948998e+02 1.334168735894979228e-03
2.230895640809209510e+02 1.332095498559181723e-03
2.245919020072300327e+02 1.324927556073620576e-03
2.260766754474618381e+02 1.302602983914896533e-03
2.275856249145269601e+02 1.282092934708221280e-03
2.291309614809004529e+02 1.274119742782411739e-03
2.306575900945704802e+02 1.255232781245232141e-03
2.322084759158453835e+02 1.252730087249610390e-03
2.337721238845440155e+02 1.230451361075932636e-03
2.353600093194582996e+02 1.221016260299765364e-03
2.369661957594408079e+02 1.201333894624293658e-03
2.385834882523224962e+02 1.196199090354365486e-03
2.401990800148335268e+02 1.174816608317958257e-03
2.418559920936364733e+02 1.175285021122148606e-03
2.435213751320815447e+02 1.165521314936212183e-03
2.451745187812593088e+02 1.156564319085005279e-03
2.468130892715858238e+02 1.141232981755797805e-03
2.484706328340153902e+02 1.127473595334772729e-03
2.501547587081194592e+02 1.114302699423395243e-03
2.518334993745957036e+02 1.107363329646337017e-03
2.535321793673348907e+02 1.093992618276294106e-03
2.552529819235952857e+02 1.073650742382556466e-03
2.569600701955143904e+02 1.077460575784582042e-03
2.586762505964811680e+02 1.070581530050665389e-03
2.603812721773497287e+02 1.048040844666494383e-03
2.621513258707896625e+02 1.051169369479681894e-03
2.638725172218716466e+02 1.041535078802980751e-03
2.655702339506635781e+02 1.031300906319491213e-03
2.673181928479280032e+02 1.014754670257600163e-03
2.690977304134792689e+02 9.954573382128649884e-04
2.709027868945841533e+02 9.944249254754346148e-04
2.727162383542291195e+02 9.890616382193474429e-04
2.745510464692732739e+02 9.667594439604336063e-04
2.763693767477936944e+02 9.495654890504754428e-04
2.782417903807576067e+02 9.502337477227882885e-04
2.800828860248263368e+02 9.374902802457014527e-04
2.819448286312614300e+02 9.259911931596170225e-04
2.838233054283531942e+02 9.148142654256577033e-04
2.857374381038646902e+02 9.153590910699057693e-04
2.876299375814758719e+02 8.890387717155946203e-04
2.895807417854307459e+02 8.846467349759398096e-04
2.915053511827843522e+02 8.698428653514077291e-04
2.934224788453329325e+02 8.713666379262551605e-04
2.953491692092039784e+02 8.604992339791009892e-04
2.973387876271176538e+02 8.632733090099463337e-04
2.992942242421985952e+02 8.431206410346657161e-04
3.012829345125486498e+02 8.437373977051772786e-04
3.032676241888472646e+02 8.328069880508335958e-04
3.052593859319482021e+02 8.144137238698475776e-04
3.073215213746606764e+02 8.071251122601476920e-04
3.094026584121007204e+02 8.059137780689983434e-04
3.114736097874117036e+02 7.874173967620298059e-04
3.135805286713031705e+02 7.903309053564515959e-04
3.156785006262369393e+02 7.767697973843955619e-04
3.178120537961988816e+02 7.690903669892522982e-04
3.199482700313693044e+02 7.593592481906565354e-04
3.221030679245836268e+02 7.622790954809827504e-04
3.242461263495133039e+02 7.473140433933113044e-04
3.264207391210044307e+02 7.462578084693894786e-04
3.285720428578059682e+02 7.412491736622345805e-04
3.307322932634811536e+02 7.339778551241998806e-04
3.329135975968038110e+02 7.362328594837902040e-04
3.350814027162629145e+02 7.213015289887117053e-04
3.372803661837155005e+02 7.109688644436761192e-04
3.394924684151916949e+02 7.031301482839519019e-04
3.417226043703653318e+02 6.993377601181542539e-04
3.439604192846687170e+02 6.844850132425289030e-04
3.462322270794933843e+02 6.737386110173288617e-04
3.485216142912197483e+02 6.804336182669776896e-04
3.507930005299059530e+02 6.695005281881971290e-04
3.531079753639160117e+02 6.682438248164903954e-04
3.554183008487014490e+02 6.660234889149868002e-04
3.577377392494224750e+02 6.453894583814258172e-04
3.601020017850315185e+02 6.571658049198574655e-04
3.624393652491236253e+02 6.428405282024444480e-04
3.648133579307859122e+02 6.457084603943874816e-04
3.671882555839026736e+02 6.413665749819973290e-04
3.695926651102346909e+02 6.261228461016217148e-04
3.720307661963112196e+02 6.225358423078123813e-04
3.745053844085393848e+02 6.133459102916509259e-04
3.770131498478793333e+02 6.097239317344496342e-04
3.795170163356483499e+02 6.059788789367504935e-04
3.820473824025002045e+02 6.006633935851475245e-04
3.846173897738133292e+02 5.935832739753095196e-04
3.872051581066933750e+02 5.927615038422936501e-04
3.897882832472775476e+02 5.816697142828195681e-04
3.924431549866772571e+02 5.747919570650471743e-04
3.951463327702361994e+02 5.705018455510789746e-04
3.978593489612740655e+02 5.648903982087586859e-04
4.006312144793849939e+02 5.590324287322162838e-04
4.034605750974433249e+02 5.609794488590415934e-04
4.063093421625630413e+02 5.585448376360800833e-04
4.091828922774540729e+02 5.532653722319858447e-04
4.120863501044497070e+02 5.482616773353875131e-04
4.150747803730404826e+02 5.512913470721715441e-04
4.180230544916460076e+02 5.501725844517467955e-04
4.209397344297356085e+02 5.414492952898506762e-04
4.239544100212699504e+02 5.375844119771368886e-04
4.270446005609180702e+02 5.438570692539164246e-04
4.300105201694349830e+02 5.320684775714428025e-04
4.331154190300579785e+02 5.390916115527197121e-04
4.362018814595161302e+02 5.435573993790648265e-04
4.392157895384391963e+02 5.316643592605443253e-04
4.422781848220094503e+02 5.340206318083176454e-04
4.453803359787532941e+02 5.289702857426286948e-04
4.484395706237361878e+02 5.272745601613069814e-04
4.515399396098932812e+02 5.246078517571374370e-04
4.546370397755733279e+02 5.284078466866850080e-04
4.577254296886026737e+02 5.270945401723807619e-04
4.608344370690657001e+02 5.194613192938891044e-04
4.639120655177416666e+02 5.219760093222789018e-04
4.669859128002217972e+02 5.218161821621325252e-04
4.700084910220297729e+02 5.275894498653545695e-04
4.730322320336375128e+02 5.119573350274539717e-04
4.761397827392160593e+02 5.141841156921476974e-04
4.792114187532513938e+02 5.117092647309588911e-04
4.822698455835508753e+02 5.125146096056964811e-04
4.852788802596893447e+02 5.110198393397868358e-04
4.882568254190402968e+02 5.144210864451448113e-04
4.911898295105012835e+02 5.138995619751429147e-04
4.941359647848984196e+02 5.160330625219357054e-04
4.970718396013276106e+02 5.118059314415430864e-04
4.999797616616144182e+02 5.035274617395195905e-04
5.029049437253239603e+02 5.110537861197314048e-04
5.058374156730364462e+02 5.026226778858858659e-04
5.088353879012839798e+02 4.993244341138631213e-04
5.118071225600356229e+02 5.040199876510785158e-04
5.147550766023637152e+02 4.942087086412499507e-04
5.177301962803281867e+02 5.044167096932489821e-04
5.206836882321580333e+02 4.950059881507816537e-04
5.237365401724473486e+02 4.914179444638721965e-04
5.265986735978600564e+02 4.912524509511418443e-04
5.295001992505883663e+02 4.968217374938565037e-04
5.323857335926767291e+02 4.805117802147902163e-04
5.353828004594849972e+02 4.875225793666787088e-04
5.382166535495372273e+02 4.843901172798503437e-04
5.412154611635041874e+02 4.788908863038302314e-04
5.441120081925768091e+02 4.811602044254057018e-04
5.470117791742059126e+02 4.729818586062349691e-04
5.499024795825729370e+02 4.802704510986871935e-04
5.528296797578829000e+02 4.764925312586425102e-04
5.558264656523223266e+02 4.688481923464027563e-04
5.588429793766895273e+02 4.748528056246428971e-04
5.617905859076287243e+02 4.719553021277779047e-04
5.648177808598126148e+02 4.646296858641618373e-04
5.679528763148812232e+02 4.679087025372052292e-04
5.710390277413825970e+02 4.677565840926553717e-04
5.740392015394745613e+02 4.604812191869637702e-04
5.771250031446387538e+02 4.732482179591702498e-04
5.800730190581119814e+02 4.681088484346038886e-04
5.829981646295879045e+02 4.714303794802223693e-04
5.859176510552009631e+02 4.445108937487886390e-04
5.890352584900158490e+02 4.468977830936570047e-04
5.920463215142769968e+02 4.515361601964131498e-04
5.950815529226174476e+02 4.543090265743998700e-04
5.980176590686949112e+02 4.610807895095064336e-04
6.010052365388794442e+02 4.519066917542055323e-04
6.040036491321000085e+02 4.635451420942629996e-04
6.070036104210840904e+02 4.501137281095177515e-04
6.100927107824426230e+02 4.585443116064434675e-04
6.131254166017164380e+02 4.581687096016750626e-04
6.161379201439100370e+02 4.530967322998941723e-04
6.191042723777107994e+02 4.502253654533682034e-04
6.222455275153361072e+02 4.528707926196872974e-04
6.253303663445210532e+02 4.557024431091252878e-04
6.284051405632969818e+02 4.478942657029266251e-04
6.315286856249755374e+02 4.488916352540174484e-04
6.345989285113112146e+02 4.426116670352796940e-04
6.376924181359520389e+02 4.532255087214557198e-04
6.407877925501653635e+02 4.478158718695917761e-04
6.438711541898678661e+02 4.484544286852165424e-04
6.469480721460849963e+02 4.437857797867638949e-04
6.500267290458233447e+02 4.443972993141893945e-04
6.530335584798561968e+02 4.553179165855375629e-04
6.559931674261987382e+02 4.440082095049693845e-04
6.589843522561918689e+02 4.411920227459929420e-04
6.620185899760476786e+02 4.466614754183397852e-04
6.650040271534755902e+02 4.401841754388879035e-04
6.679888426831207653e+02 4.501524313035836096e-04
6.709422746937603961e+02 4.434425648998975306e-04
6.738701550243766860e+02 4.413911864387291633e-04
6.768280918025800474e+02 4.398675029601365740e-04
6.797504174336086180e+02 4.510812768116374003e-04
6.826595871066081145e+02 4.511326527535349570e-04
6.855322917096809761e+02 4.501987363269208380e-04
6.883764086053701021e+02 4.444189212337141225e-04
6.912534213128524243e+02 4.450525018673608005e-04
6.941292238068010647e+02 4.526642693554502449e-04
6.969565047328580931e+02 4.456246540628899908e-04
6.998073732816027359e+02 4.485281697484508226e-04
7.026344842790588245e+02 4.495730261535860650e-04
7.054330516694703874e+02 4.475367541994393979e-04
7.082282390531041756e+02 4.509596755899258165e-04
7.109748752646447656e+02 4.465757588031619594e-04
7.137488539339192357e+02 4.505708972729503478e-04
7.165081557121374090e+02 4.418417275311609126e-04
7.192905731416515209e+02 4.476002655226687227e-04
7.220509342493702434e+02 4.402122958166487842e-04
7.248617126659813721e+02 4.455478984541093638e-04
7.276117237599070222e+02 4.471399425013616131e-04
7.303540753049950354e+02 4.321673247869465889e-04
7.331427431537812254e+02 4.481910399849360627e-04
7.358715673377569146e+02 4.293075901787224359e-04
7.386844345708858555e+02 4.444437164227175237e-04
7.414181403431418858e+02 4.344045544003550478e-04
