# Time VRMS
0.000000000000000000e+00 1.849338326195886179e-04
1.703357425039101614e+01 2.178029462301848767e-04
3.145234497447623312e+01 2.549733268929254616e-04
4.382759456825507982e+01 2.901155838474887166e-04
5.464164115236689412e+01 3.247895369277092404e-04
6.432322079339331822e+01 3.645713778926889322e-04
7.292289780843051972e+01 4.024448339539686646e-04
8.068255733959712472e+01 4.425142159692131878e-04
8.773128018879633316e+01 4.842165817878581646e-04
9.413893407858279261e+01 5.234101637527066846e-04
1.000701518358778230e+02 5.695615839081678063e-04
1.054457732733361155e+02 6.127989580639389569e-04
1.103134619733795745e+02 6.606019264825213708e-04
1.146843714357388961e+02 7.031813887252694097e-04
1.186868246000229590e+02 7.476874514200477443e-04
1.223474100671752893e+02 7.938004140124216724e-04
1.257300125795948134e+02 8.377283969888815870e-04
1.288773281762985334e+02 8.836917096749424350e-04
1.317954169846265984e+02 9.287337024362896359e-04
1.345247685855784425e+02 9.703917505440544508e-04
1.370845877845899565e+02 1.019375746839383838e-03
1.395032428849513906e+02 1.063863744913548775e-03
1.417936829308113715e+02 1.112425267825427203e-03
1.439530905207161879e+02 1.154088758828954262e-03
1.460179648643001258e+02 1.201205557548147302e-03
1.479825759589172094e+02 1.247959927938524288e-03
1.498618926634385105e+02 1.290820133904223028e-03
1.516663616936136236e+02 1.331682096464777186e-03
1.534018698034045656e+02 1.376793176052692894e-03
1.550718327715748615e+02 1.424724075498456054e-03
1.566770790434929097e+02 1.468454956910558501e-03
1.582277756022942299e+02 1.513163717055419043e-03
1.597247093897770469e+02 1.552366970741574049e-03
1.611802454973671388e+02 1.600822787280703745e-03
1.625889865055735584e+02 1.644175663831843768e-03
1.639576064574920338e+02 1.683648600799527361e-03
1.652889396642624718e+02 1.724479008199506945e-03
1.665862140314983719e+02 1.766482696671017091e-03
1.678523311179621942e+02 1.806167890125725097e-03
1.690861645278952494e+02 1.847031499569442518e-03
1.702918925127688681e+02 1.888203975852773128e-03
1.714702860173857744e+02 1.933127593495758811e-03
1.726220726371283263e+02 1.972961088258213310e-03
1.737493968333644148e+02 2.008453999208085518e-03
1.748553279118067394e+02 2.048461809108410598e-03
1.759402599052553171e+02 2.083616717958619146e-03
1.770066563442506720e+02 2.122255694251447104e-03
1.780528852329750009e+02 2.158348280366093226e-03
1.790826213741583786e+02 2.197079760463466723e-03
1.800947920596011329e+02 2.232277829990836002e-03
1.810912335838779370e+02 2.267609059051078988e-03
1.820734563581128782e+02 2.307618802820783806e-03
1.830391076704588329e+02 2.339017964327191976e-03
1.839927086786335906e+02 2.372043604968307982e-03
1.849329350813594317e+02 2.407239652326516842e-03
1.858605103572267865e+02 2.440358526474313040e-03
