# Time, VRMS, Nusselt
0.000000000000000000e+00 3.128078440589999953e+00 1.959999999999999964e+00
6.103515625000000000e-05 2.738528131629999862e+00 1.656333690609999909e+00
1.220703125000000000e-04 2.562536632730000097e+00 1.517487055649999972e+00
1.831054687500000000e-04 2.294390748960000170e+00 1.433387326689999908e+00
2.441406250000000000e-04 1.808260863769999949e+00 1.376506955209999994e+00
3.051757812500000000e-04 1.761516232029999962e+00 1.334889984369999949e+00
3.662109375000000000e-04 1.573283264290000094e+00 1.303735680710000011e+00
4.272460937500000000e-04 1.459941040059999917e+00 1.279677206809999968e+00
4.882812500000000000e-04 1.368482234130000030e+00 1.260597363350000055e+00
5.493164062500000000e-04 1.293634246249999897e+00 1.245030585609999907e+00
6.103515625000000000e-04 1.249398592939999997e+00 1.232021336909999931e+00
6.713867187500000000e-04 1.241144610999999953e+00 1.220924743529999912e+00
7.324218750000000000e-04 1.231286070519999942e+00 1.211303852799999969e+00
7.934570312500000000e-04 1.226234393479999962e+00 1.202850853149999955e+00
8.544921875000000000e-04 1.224282128000000025e+00 1.195343007389999990e+00
9.155273437500000000e-04 1.225010453359999918e+00 1.188613839859999910e+00
9.765625000000000000e-04 1.227461604079999935e+00 1.182535955469999900e+00
1.037597656250000000e-03 1.231585510689999996e+00 1.177009731460000097e+00
1.098632812500000000e-03 1.237022195120000001e+00 1.171955920530000084e+00
1.159667968750000000e-03 1.243641364359999946e+00 1.167310516059999914e+00
1.220703125000000000e-03 1.251246625480000096e+00 1.163021143789999989e+00
1.281738281250000000e-03 1.259729469200000063e+00 1.159044446150000018e+00
1.342773437500000000e-03 1.268953881520000104e+00 1.155344160080000071e+00
1.403808593750000000e-03 1.278835699630000100e+00 1.151889676899999992e+00
1.464843750000000000e-03 1.289264640300000098e+00 1.148654948289999922e+00
1.525878906250000000e-03 1.300180822880000031e+00 1.145617642770000000e+00
1.586914062500000000e-03 1.311484420179999999e+00 1.142758487120000055e+00
1.647949218750000000e-03 1.323147601809999907e+00 1.140060746050000073e+00
1.708984375000000000e-03 1.335068276199999904e+00 1.137509806790000022e+00
1.770019531250000000e-03 1.347268679079999920e+00 1.135092844309999904e+00
1.831054687500000000e-03 1.359619169129999916e+00 1.132798549080000106e+00
1.892089843750000000e-03 1.372232105459999962e+00 1.130616904020000035e+00
1.953125000000000000e-03 1.384894820640000024e+00 1.128539000520000002e+00
2.014160156250000000e-03 1.397902789370000010e+00 1.126556885280000087e+00
2.075195312500000000e-03 1.410836257039999930e+00 1.124663432710000022e+00
2.136230468750000000e-03 1.424319563130000077e+00 1.122852237060000036e+00
2.197265625000000000e-03 1.437389405540000054e+00 1.121117521860000021e+00
2.258300781250000000e-03 1.451106665830000031e+00 1.119454062340000000e+00
2.319335937500000000e-03 1.463869094060000098e+00 1.117857119680000011e+00
2.380371093750000000e-03 1.477634192150000025e+00 1.116322384350000085e+00
2.441406250000000000e-03 1.490315534160000066e+00 1.114845927409999993e+00
2.502441406250000000e-03 1.504396359990000098e+00 1.113424158369999972e+00
2.563476562500000000e-03 1.517245560309999908e+00 1.112053788639999929e+00
2.624511718750000000e-03 1.531714488200000002e+00 1.110731799649999907e+00
2.685546875000000000e-03 1.544779278110000043e+00 1.109455415040000004e+00
2.746582031250000000e-03 1.559622472500000079e+00 1.108222076259999911e+00
2.807617187500000000e-03 1.572903980280000003e+00 1.107029421050000018e+00
2.868652343750000000e-03 1.588093953800000069e+00 1.105875264580000072e+00
2.929687500000000000e-03 1.601589553499999985e+00 1.104757582600000010e+00
2.990722656250000000e-03 1.617100686839999968e+00 1.103674496660000059e+00
3.051757812500000000e-03 1.630811111030000093e+00 1.102624260860000094e+00
3.112792968750000000e-03 1.646622120430000003e+00 1.101605250079999987e+00
3.173828125000000000e-03 1.660551494979999987e+00 1.100615949450000075e+00
3.234863281250000000e-03 1.676645396909999919e+00 1.099654944909999932e+00
3.295898437500000000e-03 1.690800199039999896e+00 1.098720914789999892e+00
