# Steps, Time, visc, Nusselt bottom/top, av_T, vrms, surf_rms, surf_max, grav, etamax, etamin
5.000000000000000000e+04 6.208908837092977917e-01 1.794940965098769823e+02 2.917218094945844165e+00 2.683467749655052081e+00 6.636108917280159059e-01 5.859581081673573522e+01 4.502679000594782543e+00 5.629138837458810940e+00 1.793025716510872947e+00 1.954876136969260436e+00 1.529243264664275964e-04
5.009800000000000000e+04 6.217952878323425026e-01 1.814777601929636717e+02 2.928622602857803514e+00 2.683809032012816953e+00 6.638333199136050577e-01 5.871122131282640311e+01 4.654732968255298253e+00 5.806760833777116382e+00 1.812992567466446658e+00 1.952783539267336721e+00 1.508695931050935027e-04
5.019800000000000000e+04 6.227182031239033577e-01 1.834199489037645208e+02 2.940241440040917809e+00 2.685642479958199047e+00 6.640700323435371200e-01 5.880012511799414199e+01 4.814798392464306076e+00 5.993253140480788943e+00 1.832584411663378487e+00 1.948412319851373642e+00 1.490281279103726931e-04
5.029800000000000000e+04 6.236415880873900086e-01 1.853250233010637089e+02 2.951779558017570082e+00 2.688938931621125406e+00 6.643153086203168467e-01 5.887243121994313100e+01 4.980918697827362962e+00 6.186336026874095673e+00 1.851841484193142540e+00 1.943453173878481044e+00 1.474181099260383414e-04
5.039800000000000000e+04 6.245656558017979032e-01 1.872339164150591273e+02 2.963193659970670524e+00 2.693665906816053557e+00 6.645677965947514032e-01 5.893817920481721018e+01 5.154415081560991929e+00 6.387561668784067948e+00 1.871169899433426265e+00 1.949551953117970360e+00 1.459936179856771135e-04
5.049800000000000000e+04 6.254904729474100034e-01 1.891820813906875003e+02 2.974463797017007138e+00 2.699797606379355841e+00 6.648261026779826999e-01 5.900474526916826079e+01 5.336819577017957172e+00 6.598723639140126274e+00 1.890919043585610915e+00 1.953647180090003932e+00 1.446109914775620922e-04
5.059800000000000000e+04 6.264160110987903041e-01 1.912008511756600626e+02 2.985588354019705015e+00 2.707317513858867208e+00 6.650888130053483893e-01 5.907732164012825393e+01 5.529883792889565441e+00 6.821943920522667071e+00 1.911395264186471987e+00 1.954780748065898299e+00 1.432604058492327004e-04
5.069800000000000000e+04 6.273421824159749471e-01 1.933194448279427604e+02 2.996581275227727215e+00 2.716221619675835530e+00 6.653545068179655964e-01 5.915958096159323532e+01 5.735606717909735863e+00 7.059547093696464160e+00 1.932881835490032563e+00 1.952311638795132032e+00 1.420069421457067420e-04
5.079800000000000000e+04 6.282688604799510079e-01 1.955668149347247038e+02 3.007472017526350516e+00 2.726522012363702174e+00 6.656217630391860762e-01 5.925425712657352051e+01 5.956283914113173594e+00 7.314106217042405156e+00 1.955657148783397581e+00 1.946271932123657233e+00 1.408335287213853429e-04
5.089800000000000000e+04 6.291958908802484096e-01 1.979730664927154464e+02 3.018306686187110177e+00 2.738250710742533567e+00 6.658891620404260303e-01 5.936353409356993893e+01 6.194580574407930307e+00 7.588686419547192585e+00 1.980008572071967343e+00 1.947404985200507088e+00 1.396599476229791492e-04
5.099800000000000000e+04 6.301230965508890502e-01 2.005705596575781442e+02 3.029149011109535827e+00 2.751463783345106773e+00 6.661552837746038680e-01 5.948925656198032641e+01 6.453632798254258063e+00 7.886878736616095509e+00 2.006243350327351127e+00 1.953490747198589617e+00 1.384188774284545614e-04
5.109800000000000000e+04 6.310502815468951310e-01 2.033949857702157260e+02 3.040080593648812002e+00 2.766245988391795585e+00 6.664187023182648328e-01 5.963303243281683308e+01 6.737185140997245192e+00 8.213104299100663752e+00 2.034699759811804398e+00 1.954590724198579155e+00 1.372463377719658809e-04
5.119800000000000000e+04 6.319772351887160688e-01 2.064867667666291595e+02 3.051200598478161830e+00 2.782716367644989752e+00 6.666779759922432103e-01 5.979630866940883749e+01 7.049778087926075187e+00 8.572451817446779643e+00 2.065762339109323609e+00 1.948971641061406634e+00 1.361396654902615768e-04
5.129800000000000000e+04 6.329037368241179351e-01 2.098931478570364675e+02 3.062625560115959988e+00 2.801035453374049133e+00 6.669316316881588325e-01 5.998049221398809294e+01 7.397006978378766640e+00 8.971216170122531253e+00 2.099885009919321366e+00 1.948553702398853060e+00 1.348888389393328527e-04
