# Time VRMS
0.000000000000000000e+00 1.435505144573050043e-03
1.512173983447714587e+00 1.652480974069904605e-03
2.826809162740345549e+00 1.876181871461708554e-03
3.984273897290726563e+00 2.086918402275658637e-03
5.025283988997374607e+00 2.301985839288250325e-03
5.969937865060233051e+00 2.528316135646735234e-03
6.828563860168570976e+00 2.723686388785899644e-03
7.625525314439355995e+00 2.930660122177681896e-03
8.363468203047498051e+00 3.157215163798048150e-03
9.041802647052330499e+00 3.384009287234946220e-03
9.669313668046259025e+00 3.564753581210795570e-03
1.026921146652658656e+01 3.784225740156728877e-03
1.083303185000995583e+01 3.980192625107323127e-03
1.136575027238638214e+01 4.186908869819513761e-03
1.187166588559750124e+01 4.385028773425322934e-03
1.235198513823668165e+01 4.573237241628411685e-03
1.280980487767259568e+01 4.774883656309169069e-03
1.324686443765431676e+01 4.957115273802244551e-03
1.366314245353646939e+01 5.147600555112078272e-03
1.406382125751856371e+01 5.331271175420798820e-03
1.444969741395849105e+01 5.501880026676851491e-03
1.481805148894176050e+01 5.663634593252743661e-03
1.517392058960564682e+01 5.844378459979203931e-03
1.551703477325492742e+01 5.989363902280701694e-03
1.585022276025398291e+01 6.179277176540556860e-03
1.617254590725961805e+01 6.321101616795822727e-03
1.648269526345909952e+01 6.450329799977085748e-03
1.678664151839456409e+01 6.614771042417675467e-03
1.708318976195245753e+01 6.751962106969202834e-03
1.737190924527651603e+01 6.880609856164415609e-03
1.765268884917588466e+01 7.024714928041417630e-03
1.792543918559139371e+01 7.160208681838814947e-03
1.818901858161692076e+01 7.269472111192447523e-03
1.844803041227598328e+01 7.374014790993650703e-03
1.870188077267591353e+01 7.476721835715276036e-03
1.894735738539423409e+01 7.573370207387930889e-03
1.919080208460275827e+01 7.670778251233746105e-03
1.943108561488981678e+01 7.775327075988693049e-03
1.966530955767352751e+01 7.817275516671048224e-03
1.989647821707830744e+01 7.938358811932572784e-03
2.012338711813452719e+01 7.976895888247275551e-03
2.034571327174306887e+01 8.038455250948131972e-03
2.056541022539109065e+01 8.090884427197291007e-03
2.078468797734167595e+01 8.111303654222570478e-03
2.099929211918510319e+01 8.177024922151736666e-03
2.121365089971684625e+01 8.189942177803182302e-03
2.142670193092989095e+01 8.237626749053296449e-03
2.163409619955131191e+01 8.288504136638459585e-03
2.184373540690234705e+01 8.342126161550830060e-03
2.204784570142746247e+01 8.310243863090755259e-03
2.224691540439864568e+01 8.333768720065621791e-03
2.244955333515840223e+01 8.366627919500161520e-03
2.264928912719658172e+01 8.293435090692240219e-03
2.284795342869777457e+01 8.281056302901587673e-03
2.304760441152759043e+01 8.288650420644168640e-03
2.324936122394820970e+01 8.259935449645951916e-03
2.345138928660423971e+01 8.220380800650227762e-03
2.365396616893043813e+01 8.195448009446342288e-03
2.385899177202569632e+01 8.225219697480676273e-03
2.405912542079218142e+01 8.216390060181094981e-03
2.426041238272664913e+01 8.199377057035137778e-03
2.446339924608040661e+01 8.167604548468343842e-03
2.466692543647601354e+01 8.191090682546690871e-03
2.486796982339602735e+01 8.197233581070649880e-03
2.507117356155377763e+01 8.169242192866518065e-03
2.527478250213203737e+01 8.170069573475059396e-03
2.547625007147903275e+01 8.155502091247277333e-03
2.567787355212930933e+01 8.127279832987039862e-03
2.588051292450993301e+01 8.077941583855021562e-03
2.607937809705086707e+01 8.045116639714652504e-03
2.628481873577179329e+01 8.040439650956120524e-03
2.649577118502474704e+01 7.972857493842161469e-03
2.670083158170130488e+01 7.937014119050678218e-03
2.691281039975067557e+01 7.904425561926511912e-03
2.712975398625523482e+01 7.934734021213753555e-03
2.734166445475621998e+01 7.893484489942675930e-03
2.755691158399510954e+01 7.861037846595511983e-03
2.777392303524463912e+01 7.918310285023998779e-03
2.798666161358787363e+01 7.890166979315459128e-03
2.820168712958954416e+01 7.813448247542752537e-03
2.841004520004561940e+01 7.840678147028582248e-03
2.862494789294341402e+01 7.805807122199004064e-03
2.884049609903532385e+01 7.852195805876049234e-03
2.905669792058926149e+01 7.835635610338937893e-03
2.926448798409877128e+01 7.849273414253666453e-03
2.946576256163398710e+01 7.856987888154863195e-03
2.967558968156684784e+01 7.913923399637291800e-03
2.988323050205672615e+01 7.887706515795350412e-03
3.009339505010071036e+01 7.847564928084447416e-03
3.030448060727815118e+01 7.918647720841841958e-03
3.051389899088740520e+01 7.911933547903010622e-03
3.072878350109104417e+01 7.922556486140010928e-03
3.094040073748613651e+01 7.940949378120462990e-03
3.115302070852259320e+01 7.942863458881789865e-03
3.137047924837250079e+01 7.906667807881141360e-03
3.159016506576048755e+01 7.945002109093882853e-03
3.180474225721976111e+01 7.955011585914039188e-03
3.203024851415790408e+01 7.957648587032909587e-03
3.224964384360147562e+01 7.940637774423451103e-03
3.247832384347960044e+01 7.999809104206495949e-03
3.270310749625607372e+01 8.008368880060373618e-03
3.293352612142948743e+01 8.030555257934932079e-03
3.316655778277952749e+01 8.074230686652202060e-03
3.339932798026610783e+01 8.070546455383496159e-03
3.363772186733639558e+01 8.097641544018046797e-03
3.388647593335184638e+01 8.152523265036020969e-03
3.413010336051397786e+01 8.186243915431093074e-03
3.437971992922185649e+01 8.242410321148379085e-03
3.462470751566215199e+01 8.277505418177698304e-03
3.487776073837040514e+01 8.330744022439421151e-03
3.513282138630757601e+01 8.401906463218051374e-03
3.538308181754200632e+01 8.442508228982917307e-03
3.563477400994464261e+01 8.511914390136902583e-03
3.588829169163506805e+01 8.584508502274684760e-03
3.614806306871852115e+01 8.623635672467216615e-03
3.641449660675557709e+01 8.711350732009947098e-03
3.667401894715465005e+01 8.785503450122876534e-03
3.693162749684252333e+01 8.845265402613947114e-03
